This document has 1046 terms. 
t_index	term	Norm_tf_idf
518	israel	0.14675753554632132
3084	warming	0.12286598329161003
128	gonna	0.11327928549075614
4100	renegotiate	0.11272167913282793
461	ok	0.10597322843198259
2280	letter	0.10482986766718513
3607	jewish	0.10478088657264692
6289	sacrifices	0.1030410253368658
6291	bb	0.1030410253368658
46	dont	0.09822999460305834
1782	prisoners	0.09203303997953528
1743	attorney	0.09203303997953528
947	donald	0.0910988165341337
649	shes	0.08966795678124491
630	along	0.08966795678124491
130	deal	0.08770009199284347
734	trump	0.08694893399577411
515	probably	0.08632796208607137
9041	mensch	0.08102719421607375
9042	spa	0.08102719421607375
9043	gaming	0.08102719421607375
9052	favorability	0.08102719421607375
9044	hotspur	0.08102719421607375
9096	jayvee	0.08102719421607375
9068	celebrity	0.08102719421607375
9038	rjc	0.08102719421607375
2113	negotiation	0.08011453192298713
1931	filed	0.07672282124059332
1581	gas	0.07077802998479223
2723	bye	0.06960538222290498
2794	refuses	0.06960538222290498
6271	friedman	0.06869401689124387
6277	marshal	0.06869401689124387
6283	manassas	0.06869401689124387
6278	pee	0.06869401689124387
6270	abby	0.06869401689124387
1527	minister	0.06814082164754685
761	horrible	0.06715297047682263
2512	netanyahu	0.06604149336237612
2478	till	0.06604149336237612
453	general	0.06336556567118505
2275	gridlock	0.06289792060031109
2276	responded	0.06289792060031109
64	im	0.06222866674514171
4965	maker	0.06147957064147391
4781	agrees	0.06147957064147391
4962	competing	0.06147957064147391
4648	hurts	0.06147957064147391
4922	catastrophe	0.06147957064147391
4936	parade	0.06147957064147391
4963	magnificent	0.06147957064147391
1227	commitment	0.061231580372560594
851	presidential	0.06120009666746057
145	thing	0.06074428234579622
288	everybody	0.06073430671077165
2105	sergeant	0.060085898942240354
2096	awards	0.060085898942240354
2104	trader	0.060085898942240354
220	ive	0.05834795814327823
1944	inspect	0.05754211593044499
1091	perhaps	0.057273501859500586
1071	response	0.057273501859500586
4015	supporter	0.05636083956641397
62	money	0.05556130959387653
32	think	0.05531564839465013
1711	extreme	0.05521982398772118
1699	commercial	0.05521982398772118
559	guy	0.0548478385843512
741	tremendous	0.05434308374735882
169	ever	0.05314702290341488
284	room	0.05300991936509796
695	company	0.05278213290627954
3549	blew	0.05239044328632346
3614	station	0.05239044328632346
3515	doral	0.05239044328632346
3611	israels	0.05239044328632346
3609	elton	0.05239044328632346
3566	foot	0.05239044328632346
1522	itll	0.05110561623566014
1515	respond	0.05110561623566014
185	better	0.050853086097696655
398	guys	0.05082975537210751
405	hes	0.05082975537210751
646	speech	0.04981553154513605
1407	prime	0.04926422956758542
74	good	0.04921339837910504
3027	embarrassed	0.04914639331664401
2963	islam	0.04914639331664401
3128	blow	0.04914639331664401
3023	related	0.04914639331664401
3094	petraeus	0.04914639331664401
618	hell	0.04840326897981071
601	agree	0.04840326897981071
622	nice	0.04840326897981071
55	thats	0.04836979099269321
196	doesnt	0.048288217107250585
353	anybody	0.047932695897229066
358	politicians	0.047932695897229066
805	leaving	0.04750738471314634
825	deals	0.04750738471314634
286	mean	0.04711992832453152
590	global	0.04703446761424204
6	know	0.04698481328034088
2676	character	0.04640358814860332
2725	straighten	0.04640358814860332
2802	jerusalem	0.04640358814860332
2744	convention	0.04640358814860332
